               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 117,              1.6615,              1.2249,              1.6706,              0.8016,             0.75865,             0.80329,             0.50137,                   0,                   0,                   0,           4.258e-05,           4.258e-05,           4.258e-05
                 118,              1.6415,              1.2093,              1.6639,              0.8098,             0.75507,             0.80545,             0.49865,                   0,                   0,                   0,          4.2085e-05,          4.2085e-05,          4.2085e-05
                 119,              1.6334,              1.2084,              1.6693,              0.8106,             0.75545,             0.80623,             0.50016,                   0,                   0,                   0,           4.159e-05,           4.159e-05,           4.159e-05
                 120,              1.6528,              1.2156,              1.6638,             0.81345,             0.75466,             0.80769,             0.50207,                   0,                   0,                   0,          4.1095e-05,          4.1095e-05,          4.1095e-05
                 121,              1.6616,              1.2237,              1.6742,             0.80661,             0.76114,             0.80586,             0.50133,                   0,                   0,                   0,            4.06e-05,            4.06e-05,            4.06e-05
                 122,              1.6493,              1.2115,              1.6583,             0.81965,             0.75442,              0.8071,             0.50555,                   0,                   0,                   0,          4.0105e-05,          4.0105e-05,          4.0105e-05
                 123,              1.6545,              1.2256,               1.672,             0.81313,             0.75644,             0.80703,             0.50389,                   0,                   0,                   0,           3.961e-05,           3.961e-05,           3.961e-05
                 124,              1.6446,              1.2152,              1.6615,              0.8176,             0.75872,             0.81537,             0.50607,                   0,                   0,                   0,          3.9115e-05,          3.9115e-05,          3.9115e-05
                 125,              1.6427,              1.2095,              1.6635,             0.80539,             0.76574,              0.8119,             0.50554,                   0,                   0,                   0,           3.862e-05,           3.862e-05,           3.862e-05
                 126,              1.6524,              1.2097,              1.6703,             0.80869,             0.76239,             0.81027,             0.50632,                   0,                   0,                   0,          3.8125e-05,          3.8125e-05,          3.8125e-05
                 127,              1.6261,              1.1918,              1.6442,             0.80995,             0.76459,             0.80998,               0.505,                   0,                   0,                   0,           3.763e-05,           3.763e-05,           3.763e-05
                 128,               1.624,              1.2002,               1.653,             0.82137,             0.75266,             0.81037,             0.50076,                   0,                   0,                   0,          3.7135e-05,          3.7135e-05,          3.7135e-05
                 129,              1.6355,               1.204,              1.6539,             0.81427,             0.75766,             0.80745,             0.50032,                   0,                   0,                   0,           3.664e-05,           3.664e-05,           3.664e-05
                 130,              1.6322,              1.2072,              1.6546,              0.8179,             0.75616,             0.81109,             0.50667,                   0,                   0,                   0,          3.6145e-05,          3.6145e-05,          3.6145e-05
                 131,              1.6194,               1.208,              1.6412,             0.80031,             0.76542,             0.81002,             0.50378,                   0,                   0,                   0,           3.565e-05,           3.565e-05,           3.565e-05
                 132,              1.6203,              1.1927,              1.6512,             0.80926,             0.75726,             0.80754,             0.50604,                   0,                   0,                   0,          3.5155e-05,          3.5155e-05,          3.5155e-05
                 133,              1.6178,              1.1918,              1.6371,             0.79518,             0.77007,             0.80876,              0.5077,                   0,                   0,                   0,           3.466e-05,           3.466e-05,           3.466e-05
                 134,              1.6347,              1.2118,               1.662,             0.79905,             0.76647,             0.81106,             0.50712,                   0,                   0,                   0,          3.4165e-05,          3.4165e-05,          3.4165e-05
                 135,              1.6252,              1.2028,              1.6554,             0.80538,             0.76185,             0.80907,             0.50569,                   0,                   0,                   0,           3.367e-05,           3.367e-05,           3.367e-05
                 136,              1.6074,               1.178,              1.6406,             0.81043,             0.76478,              0.8063,              0.5059,                   0,                   0,                   0,          3.3175e-05,          3.3175e-05,          3.3175e-05
                 137,              1.6276,              1.2116,              1.6494,             0.79821,             0.77025,             0.80532,             0.50545,                   0,                   0,                   0,           3.268e-05,           3.268e-05,           3.268e-05
                 138,              1.6195,              1.1944,              1.6461,             0.79053,              0.7666,             0.80605,             0.50681,                   0,                   0,                   0,          3.2185e-05,          3.2185e-05,          3.2185e-05
                 139,              1.5959,              1.1712,              1.6333,             0.79361,             0.77129,             0.80734,             0.50705,                   0,                   0,                   0,           3.169e-05,           3.169e-05,           3.169e-05
                 140,              1.6034,              1.1693,              1.6428,              0.7985,             0.76998,             0.80899,             0.50676,                   0,                   0,                   0,          3.1195e-05,          3.1195e-05,          3.1195e-05
                 141,              1.5959,              1.1867,              1.6415,             0.82099,             0.74556,             0.80833,             0.50655,                   0,                   0,                   0,            3.07e-05,            3.07e-05,            3.07e-05
                 142,              1.6058,              1.1744,              1.6469,             0.82087,             0.75363,             0.81117,             0.50723,                   0,                   0,                   0,          3.0205e-05,          3.0205e-05,          3.0205e-05
                 143,              1.6018,              1.1621,              1.6427,             0.81688,             0.76049,             0.81294,             0.50874,                   0,                   0,                   0,           2.971e-05,           2.971e-05,           2.971e-05
                 144,              1.5964,              1.1705,              1.6323,             0.81602,             0.75111,             0.80816,             0.50503,                   0,                   0,                   0,          2.9215e-05,          2.9215e-05,          2.9215e-05
                 145,              1.5929,               1.162,              1.6307,             0.81296,             0.75901,             0.81168,             0.50736,                   0,                   0,                   0,           2.872e-05,           2.872e-05,           2.872e-05
                 146,              1.5896,              1.1645,              1.6325,             0.81069,             0.76066,              0.8137,             0.50931,                   0,                   0,                   0,          2.8225e-05,          2.8225e-05,          2.8225e-05
                 147,              1.5944,              1.1722,              1.6418,             0.81772,              0.7683,             0.81627,             0.51152,                   0,                   0,                   0,           2.773e-05,           2.773e-05,           2.773e-05
                 148,              1.5782,              1.1628,               1.619,             0.81656,             0.76671,             0.81935,              0.5133,                   0,                   0,                   0,          2.7235e-05,          2.7235e-05,          2.7235e-05
                 149,              1.5945,              1.1708,              1.6403,             0.80971,             0.76437,             0.81619,             0.51333,                   0,                   0,                   0,           2.674e-05,           2.674e-05,           2.674e-05
                 150,               1.592,               1.162,              1.6228,             0.80909,             0.76638,              0.8133,             0.51242,                   0,                   0,                   0,          2.6245e-05,          2.6245e-05,          2.6245e-05
                 151,              1.5857,              1.1603,              1.6412,             0.81086,             0.76574,             0.81419,             0.51571,                   0,                   0,                   0,           2.575e-05,           2.575e-05,           2.575e-05
                 152,              1.5804,              1.1561,              1.6273,             0.81967,              0.7631,             0.81852,             0.51739,                   0,                   0,                   0,          2.5255e-05,          2.5255e-05,          2.5255e-05
                 153,               1.579,               1.148,              1.6293,             0.80488,             0.77001,             0.81714,             0.51677,                   0,                   0,                   0,           2.476e-05,           2.476e-05,           2.476e-05
                 154,              1.5671,              1.1505,              1.6248,             0.79322,             0.77335,             0.81377,             0.51656,                   0,                   0,                   0,          2.4265e-05,          2.4265e-05,          2.4265e-05
                 155,              1.5796,              1.1419,              1.6233,             0.79501,             0.76899,              0.8107,             0.51141,                   0,                   0,                   0,           2.377e-05,           2.377e-05,           2.377e-05
                 156,              1.5737,              1.1512,              1.6265,             0.80279,             0.76745,             0.81073,             0.51255,                   0,                   0,                   0,          2.3275e-05,          2.3275e-05,          2.3275e-05
                 157,              1.5706,              1.1471,              1.6193,             0.79781,             0.76382,              0.8091,             0.51102,                   0,                   0,                   0,           2.278e-05,           2.278e-05,           2.278e-05
                 158,              1.5707,              1.1499,              1.6272,             0.79657,             0.76723,             0.81141,             0.51512,                   0,                   0,                   0,          2.2285e-05,          2.2285e-05,          2.2285e-05
                 159,              1.5783,              1.1593,              1.6234,             0.80401,             0.76114,             0.81442,             0.51954,                   0,                   0,                   0,           2.179e-05,           2.179e-05,           2.179e-05
